id	name	arcana	level	description	image	strength	magic	endurance	agility	luck	weak	resists	reflects	absorbs	nullifies	dlc	query
101	Nemesis	Justice	37	A Greek goddess that was the personification of the gods' wrath, or ''divine retribution.'' While known to administer vengeance, she was also perceived as fair and balanced, punishing only those that deserved it. 	https://megatenwiki.com/images/5/5d/P3R_Nemesis_Artwork.png	19	28	23	25	23	Dark	Light				0	nemesis
102	Kala-Nemi	Justice	37	A Hindu goddess whose name means ''edge of the wheel of time.'' The ''wheel'' refers to samsara, the cycle of death and rebirth, meaning she is a goddess who has transcended life itself. 	https://megatenwiki.com/images/8/82/P3_Kala-Nemi_Artwork.png	19	28	23	25	23	Dark				Light	0	kala-nemi
103	Dominion	Justice	42	The fourth of the nine orders of angels. Their duty is to oversee the other angels. Their actions are the manifestation of God's will.	https://megatenwiki.com/images/b/b3/P5X_Dominion_Artwork.png	25	32	24	26	26	Electric,Dark	Wind			Light	0	dominion
104	Throne	Justice	52	The third of the nine orders of angels. They are the angels of dignity and justice who carry God's throne and govern thought. They are angels of knowledge.	https://megatenwiki.com/images/b/b9/DeSum_Throne_Artwork.png	39	35	30	30	33	Strike,Dark		Light		Fire	0	throne
105	Loki A	Justice	60	A Persona of another story. He is a malevolent god of Norse mythology. He can be capricious and is quite cunning. Despite being a blood brother to Odin, he was punished for the murder of Odin's child, Baldur.	https://megatenwiki.com/images/0/0d/P5_Loki_Concept_Artwork.png	44	42	33	38	33	Light	Fire,Ice			Dark	1	loki-a
106	Melchizedek	Justice	66	An angel of Gnosticism, governing over peace and righteousness. Though said to be the savior of the angels, he used to be a human, the king of Salem.	https://megatenwiki.com/images/e/e2/P5X_Melchizedek_Artwork.png	54	47	47	35	31	Wind		Strike,Light			0	melchizedek
107	Onmoraki	Hermit	8	A monstrous, fire-spitting, Japanese bird with a man's face. It is actually a corpse that was not given a proper memorial service. They appear before monks who neglect their duties.	https://megatenwiki.com/images/9/95/P5X_Onmoraki_Artwork.png	4	7	6	10	4	Slash,Light	Fire,Wind				0	onmoraki
108	Naga	Hermit	17	Half-snake, half-human, they are divine beings in Hindu mythology. Worshiped as bringers of fertility.	https://megatenwiki.com/images/d/dc/P5X_Naga_Artwork.png	14	10	11	14	9	Strike	Electric,Dark				0	naga
109	Lamia	Hermit	25	A serpentine woman of Greek myth, she was once the queen of Libya. Zeus's jealous wife, Hera, killed her children, causing her to go mad and transform into a monster.	https://megatenwiki.com/images/f/fd/P5X_Lamia_Artwork.png	15	20	16	14	17	Strike	Electric,Dark			Fire	0	lamia
110	Mothman	Hermit	31	A cryptid sighted between the 60s and 80s in West Virginia. It has shining red eyes and is named for the fin-like appendages on its sides. It uses its keen sense for blood to track down the source and feed on it.	https://megatenwiki.com/images/d/d3/P5X_Mothman_Artwork.png	15	25	18	27	22	Pierce,Ice	Fire,Dark	Electric		Wind	0	mothman
111	Dakini	Hermit	38	Hindu deities of passion and relations. They are Kali's attendants. They eat human flesh and gather at graveyards and crematories each night. Their name means ''sky dancer.''	https://megatenwiki.com/images/8/86/P5X_Dakini_Artwork.png	36	22	16	29	18	Ice	Strike,Fire				0	dakini
112	Kurama Tengu	Hermit	46	A type of tengu said to have lived on Mt. Kurama in Kyoto. The most powerful and well-known of the tengu, they have the power to fend off disease and bring good fortune.	https://megatenwiki.com/images/3/3d/P5X_Kurama_Tengu_Artwork.png	26	32	25	37	25	Electric	Dark		Wind		0	kurama-tengu
113	Nebiros	Hermit	52	The general of Hell, he keeps watch over other demons. One of the greatest necromancers in Hell, he can control souls and corpses.	https://megatenwiki.com/images/d/d6/P5X_Nebiros_Artwork.png	28	42	31	31	37	Light		Ice		Dark	0	nebiros
114	Kumbhanda	Hermit	61	A demon of Buddhist myth said to drain human life energy. He has dark skin, stands three meters tall, and sometimes changes his shape to a gourd. Known to have once served Rudra, the god of storms.	https://megatenwiki.com/images/9/96/P5X_Kumbhanda_Artwork.png	48	44	39	45	20	Light	Dark		Fire	Wind	0	kumbhanda
115	Arahabaki	Hermit	68	A mysterious god of ancient Japan. Most famously worshiped by Nagasunehiko, who was defeated in battle against Emperor Jinmu, Arahabaki came to be treated as a symbol of rebellion and defiance.	https://megatenwiki.com/images/a/a6/P5X_Arahabaki_Artwork.png	47	52	53	32	36	Strike,Ice,Dark	Light	Slash,Pierce			0	arahabaki
116	Fortuna	Fortune	15	The Roman goddess of luck, she spins the Wheel of Fortune. She is believed to have originally been a fertility goddess. Her Greek counterpart is Tyche.	https://megatenwiki.com/images/b/bf/SH1_Fortuna_Artwork.png	7	17	10	13	11	Electric				Fire,Wind	0	fortuna
117	Sandman	Fortune	20	A fairy in German folklore who carries a bag of magical sand, which puts humans to sleep when thrown into their eyes. If the victim resists, the Sandman will sit on their eyelids.	https://megatenwiki.com/images/d/d4/P5X_Sandman_Artwork.png	13	13	15	15	20	Ice,Electric				Fire,Wind	0	sandman
118	Kushi Mitama	Fortune	28	One of the four aspects of Shinto thought, it uses its power to bring good omens. It is said to aid in one's wisdom, observation, and skill, and can mend fractured paths.	https://megatenwiki.com/images/5/52/P5X_Kushi_Mitama_Artwork.png	16	22	18	13	22	Fire	Electric			Wind	0	kushi-mitama
119	Clotho	Fortune	37	One of the three Moirae Sisters in Greek mythology. She spins the threads of fate.	https://megatenwiki.com/images/d/d2/P5X_Clotho_Artwork.png	20	29	22	24	26	Fire				Wind	0	clotho
120	Lachesis	Fortune	44	The middle sister of the three Moirae Sisters of Greek legend. She is the apportioner, measuring the thread which determines each person's lifespan.	https://megatenwiki.com/images/9/91/P5X_Lachesis_Artwork.png	22	37	23	30	29	Electric	Ice			Wind	0	lachesis
121	Atropos	Fortune	56	One of the three Moirae Sisters in Greek mythology. She cuts the life threads of those whose time has come.  	https://megatenwiki.com/images/7/7e/P5X_Atropos_Artwork.png	26	45	32	36	40	Fire	Light,Dark			Wind	0	atropos
122	Hypnos	Fortune	56	No description (Strega Only)	https://megatenwiki.com/images/e/e8/P3_Hypnos_Artwork.png	50	55	45	40	30			Light	Dark		0	hypnos
123	Moros	Fortune	56	No description (Strega Only)	https://megatenwiki.com/images/4/4a/P3_Moros_Artwork.png	46	50	42	45	35			Fire,Dark			0	moros
124	Norn	Fortune	65	Goddesses of fate in Norse myth. They live below the roots of Yggdrasil and weave the threads of fate, which even the gods are bound by.	https://megatenwiki.com/images/8/88/P5X_Norn_Artwork.png	37	60	40	37	40	Electric		Ice	Wind	Fire	0	norn
125	Lakshmi	Fortune	73	The Hindu goddess of beauty and good fortune, Vishnu's wife, and Kama's mother. She is the goddess of love, believed to have been born from an ocean of milk.	https://megatenwiki.com/images/1/11/P5X_Lakshmi_Artwork.png	39	61	38	45	52	Fire				Ice,Light	0	lakshmi
126	Valkyrie	Strength	10	'Choosers of the slain'' in Norse lore. Armed with shining armor and swords, they look for brave warriors to take to Valhalla, so that they may fight in Ragnarok. 	https://megatenwiki.com/images/7/79/P5X_Valkyrie_Artwork.png	11	7	6	8	5	Fire	Pierce,Ice				0	valkyrie
127	Rakshasa	Strength	15	Demon of Hindu myth. He is an enemy of the gods, and attacks humans to feed on them. His hideous appearance strikes fear into those who see him. Can shift his shape to deceive his enemies.	https://megatenwiki.com/images/d/d1/P5X_Rakshasa_Artwork.png	17	8	13	11	6	Wind,Light	Slash,Pierce				0	rakshasa
128	Matador	Strength	22	A master sportsman who entertains the audience in exchange for his own life: one mistake can mean death. Some believe that matadors who die while performing remain in this world.	https://megatenwiki.com/images/8/8c/P5X_Matador_Artwork.png	17	14	12	23	10	Fire		Dark		Wind	0	matador
129	Jikokuten	Strength	29	Also known as Dhritarashtra, he is the protector of the East, and is one of the four Heavenly Kings of Buddhist origin. He helps maintain the security of the nation.	https://megatenwiki.com/images/b/ba/P5X_Jikokuten_Artwork.png	27	13	25	12	17	Fire	Slash,Light	Ice			0	jikokuten
130	Cerberus	Strength	35	The giant hound that guards the great abyss, Tartarus. He answers to Hades, the lord of the underworld, and keeps watch for both intruders and escapees. He was born from Typhon and Echidna, and is the older brother of Orthrus. 	https://megatenwiki.com/images/9/92/P3R_Cerberus_Artwork.png	25	24	21	29	19	Light				Fire,Dark	0	cerberus
131	Hanuman	Strength	36	A monkey god of Hindu descent. His father is Vayu, the wind god. Extremely nimble, he performed many heroic deeds in the Ramayana. He is powerful, can fly, and can change his shape into many forms.	https://megatenwiki.com/images/2/2a/SMT1_Hanuman_Artwork.png	30	17	24	22	22	Wind	Slash,Fire				0	hanuman
132	White Rider	Strength	46	One of the Four Horsemen of the Apocalypse, he rides a white horse with a bow in hand. A crown was granted to him, and he promises victory.	https://megatenwiki.com/images/d/db/P5X_White_Rider_Censored_Artwork.png	36	27	30	27	25	Ice	Fire	Dark		Light	0	white-rider
133	Siegfried	Strength	54	The German name of the hero in the epic poem of the Nibelungenlied. The dragon Fafnir's blood made him invincible, but a single leaf on his back resulted in a weak spot.	https://megatenwiki.com/images/9/91/SH1_Siegfried_Artwork.png	44	29	38	36	25	Dark	Strike			Slash,Light	0	siegfried
134	Kali	Strength	63	A goddess of death and destruction. She is said to be another face of Parvati. She is violent, bloodthirsty, wears a string of skulls, and carries bloody weapons, but she also blesses her followers.	https://megatenwiki.com/images/4/42/SH1_Kali_Artwork.png	53	30	34	48	34	Wind	Fire	Slash			0	kali
135	Atavaka	Strength	72	One of the eight Yashaou. His domain is war and protection. Once a child-eating demon, he became one of the greatest of the Wisdom Kings after the Buddha converted him to good. 	https://megatenwiki.com/images/7/7c/SMT2_Atavaka_Artwork.png	63	37	64	39	35	Ice				Pierce,Light	0	atavaka
136	Inugami	Hanged	10	Spirits of dogs said to possess humans in Japanese lore. Those possessed go crazy. Onmyoji, or Japanese sorcerers, summon them to do their will.	https://megatenwiki.com/images/5/58/P5X_Inugami_Artwork.png	4	8	7	7	11	Wind	Dark			Fire	0	inugami
137	Take-Minakata	Hanged	20	A Japanese god of war, hunting and fertility. He fought Take-Mikazuchi for control of Japan and lost. He escaped to Suwa, but was prohibited to leave since.	https://megatenwiki.com/images/0/00/SMT3_Take-Minakata_Artwork.png	14	14	21	10	10	Light,Dark	Pierce,Fire,Electric				0	take-minakata
138	Orthrus	Hanged	27	The two-headed pet dog belonging to the giant, Geryon, in Greek myth. He guarded a herd of red oxen, but was killed by Hercules during one of his twelve labors.	https://megatenwiki.com/images/6/66/P5X_Orthrus_Artwork.png	22	14	20	18	15	Ice	Dark		Fire		0	orthrus
139	Vasuki	Hanged	38	A giant serpent of Hindu legend. It is said the gods and demons used him to churn the sea of milk. The strain caused him to exhale incredibly potent venom, but Shiva swallowed it. 	https://megatenwiki.com/images/a/a7/DeSum_Vasuki_Artwork.png	27	27	35	15	17	Wind	Ice,Electric	Light			0	vasuki
140	Hecatoncheires	Hanged	47	A giant in Greek mythology, born from Uranus and Gaia. His name means ''hundred-handed.'' Enlisted by Zeus in the war against the Titans; thanks to his help, the gods were victorious.	https://megatenwiki.com/images/5/52/P5X_Hecatoncheires_Artwork.png	37	24	48	20	25	Light	Strike,Pierce,Ice,Electric,Dark				0	hecatoncheires
141	Mada	Hanged	57	A giant Hindu monster. Its mouth is so enormous it, can swallow the Earth and the heavens in one bite. Its name means, ''he who intoxicates.''	https://megatenwiki.com/images/6/67/P5X_Mada_Artwork.png	42	48	45	33	28	Ice,Wind,Light	Strike,Electric		Fire	Dark	0	mada
142	Medea	Hanged	63	No description (Strega Only)	https://megatenwiki.com/images/e/e6/P3_Medea_Artwork.png	53	65	42	46	30				Fire		0	medea
143	Hell Biker	Hanged	65	A motorcyclist whose violent nature turned him into a demon. His anger at himself and the world causes him to lash out, so that everyone else will suffer as well.	https://megatenwiki.com/images/c/c6/P5X_Hell_Biker_Artwork.png	48	51	50	40	22	Light		Fire,Wind			0	hell-biker
144	Attis	Hanged	73	A Phrygian god who symbolizes life, death, and revival. He rejected Cybele's love and was driven mad, dying after he castrated himself. Cybele then resurrected him. 	https://megatenwiki.com/images/a/ac/SH1_Attis_Artwork.png	45	53	51	57	32	Light,Dark	Slash,Strike,Pierce	Wind		Fire	0	attis
145	Pisaca	Death	15	A type of preta, or ''hungry ghost,'' in Hindu lore that eats human corpses. It enters a human through the mouth and causes harm. Those who see one are said to die within nine months.	https://megatenwiki.com/images/a/a6/P3R_Pisaca_Model.png	10	13	16	9	7	Pierce,Fire,Light	Strike,Electric			Dark	0	pisaca
146	Pale Rider	Death	23	One of the Four Horsemen of the Apocalypse, he rides a pale horse and represents death. He has the power to destroy life.	https://megatenwiki.com/images/c/c3/P5X_Pale_Rider_Artwork.png	20	18	13	17	11	Light	Wind	Dark			0	pale-rider
147	Loa	Death	33	A group of deities worshiped in voodoo. They control the forces of nature and influence human activities. Some also have powerful magic used to curse others.	https://megatenwiki.com/images/6/69/P3_Loa_Artwork.png	21	26	24	19	18	Light	Electric,Dark				0	loa
148	Samael	Death	41	A mysterious angel with the name ''Poison of God.'' He is often shown as a serpent. Opinions differ on whether he is fallen or not, but either way, he is linked with death.	https://megatenwiki.com/images/e/e1/SMT1_PS_Samael_Artwork.png	26	31	27	21	25	Wind	Ice			Electric,Dark	0	samael
149	Mot	Death	58	The Canaanite god of death. Every year, Mot attempts to kill Baal, the god of fertility, only to see him raised from the dead with the help of his sister, Anat.	https://megatenwiki.com/images/2/27/DeSum_Mot_Artwork.png	37	42	44	29	33	Wind		Dark		Electric	0	mot
150	Alice	Death	68	A ghost who appears as a young blonde girl. She seems young, but has formidable magic powers. Some say she's the ghost of a poor English girl who died an unfortunate death.	https://megatenwiki.com/images/3/3b/P5X_Alice_Artwork.png	35	62	31	51	44	Light		Dark			0	alice
151	Thanatos	Death	78	The Greek god of death, he is the son of Nyx and the brother of Hypnos. He is depicted as a young man with an inverted torch and a wreath or butterfly in his hands.	https://megatenwiki.com/images/3/36/P3_Thanatos_Artwork.png	52	66	53	45	40	Light	Fire,Ice,Electric,Wind	Dark			0	thanatos
152	Nigi Mitama	Temperance	12	One of the four aspects of Shinto thought, it works gently to help maintain a calm mind. It is said to aid in one's relations and sociability, and can lead one in a positive direction.	https://megatenwiki.com/images/1/1c/P5X_Nigi_Mitama_Artwork.png	6	10	9	10	8	Electric	Light,Dark			Wind	0	nigi-mitama
153	Mitra	Temperance	22	An ancient Persian god of contracts, who was also revered as a sun god who brought harvests when he was introduced to the Zoroastrian religion.	https://megatenwiki.com/images/0/04/P5X_Mitra_Artwork.png	13	19	16	10	15	Electric				Ice,Light	0	mitra
154	Genbu	Temperance	30	One of the Ssu-Ling, celestial creatures of Chinese myth. It represents the direction north, the season of winter, and the element of water. Known to be a great warrior, it supports the earth from below.	https://megatenwiki.com/images/9/9b/P5X_Genbu_Artwork.png	18	17	30	12	20	Electric				Ice	0	genbu
155	Seiryu	Temperance	38	The noblest of the Ssu-Ling creatures of Chinese myth. It represents the direction east, the season of spring, and the element of wood. He dwells in a palace at the bottom of the ocean.	https://megatenwiki.com/images/6/6f/P5X_Seiryu_Artwork.png	24	31	27	21	18	Electric				Ice	0	seiryu
156	Okuninushi	Temperance	44	A Kunitsu deity of Japanese mythology that governs agriculture and medicine. Said to have built the country of Izumo with Susano-o's daughter, Suseri-Hime. 	https://megatenwiki.com/images/d/da/P5X_Okuninushi_Artwork.png	35	32	29	24	19	Wind	Light	Electric		Fire	0	okuninushi
157	Suzaku	Temperance	55	One of the Ssu-Ling, celestial creatures of Chinese myth. It is a giant bird that is said to chirp in five beautiful voices. It represents the direction south, the season of summer, and the element of fire.	https://megatenwiki.com/images/1/1e/P5X_Suzaku_Artwork.png	31	40	32	42	31	Ice	Light	Fire			0	suzaku
158	Byakko	Temperance	63	One of the Ssu-Ling, celestial creatures of Chinese myth. It represents the direction west, the season of autumn, and the element of metal. He is believed to be the king of all beasts.	https://megatenwiki.com/images/e/e2/P5X_Byakko_Artwork.png	45	44	50	39	30	Fire		Electric		Ice	0	byakko
159	Yurlungur	Temperance	71	A snake with a rainbow body from Murngin lore. He is a fertility deity who controls the weather and resides in a holy pond filled with rainbow-colored water.	https://megatenwiki.com/images/7/7e/P5X_Yurlungur_Artwork.png	41	45	63	42	38	Dark	Fire,Electric,Light				0	yurlungur
160	Lilim	Devil	8	A demon who tempts sleeping men and attacks infants. She is the daughter of the demoness, Lilith. Like her mother, she drains men of their essence.	https://megatenwiki.com/images/c/c3/P5X_Lilim_Artwork.png	4	10	4	6	7	Light	Electric,Dark				0	lilim
161	Mokoi	Devil	18	Evil spirits of Murngin lore believed to be reborn shadows. They kidnap and eat children, and strike down any sorcerer who uses black magic.	https://megatenwiki.com/images/a/ae/P5X_Mokoi_Artwork.png	7	7	12	16	22	Fire				Ice,Dark	0	mokoi
162	Baphomet	Devil	30	A goat-headed demon that is worshiped in Black Sabbaths. His name is sometimes used as a generic name for any demon. He would become an object of worship for witches.	https://megatenwiki.com/images/8/82/P5X_Baphomet_Artwork.png	20	25	22	16	19	Wind,Light	Fire			Dark	0	baphomet
163	Incubus	Devil	37	A male demon of European lore in medieval times. They visit sleeping women and have sexual intercourse with them. The resulting children become witches or wizards.	https://megatenwiki.com/images/5/5f/P5X_Incubus_Artwork.png	22	30	20	21	28	Slash,Light				Fire,Dark	0	incubus
164	Succubus	Devil	47	A female demon of European lore in medieval times. They visit sleeping men and have sexual intercourse with them. The victims don't wake up, but may dream of the encounter.	https://megatenwiki.com/images/a/a3/P5X_Succubus_Artwork.png	26	41	28	33	27	Pierce,Light		Fire	Dark		0	succubus
165	Pazuzu	Devil	56	The Babylonian lord of wind and scorching sands. Has a lion's head and arms, eagle-clawed feet, bird wings, and deadly poison. The diseases he spreads can only be cured by magical means.	https://megatenwiki.com/images/c/c3/P5X_Pazuzu_Censored_Artwork.png	34	42	35	32	34	Electric,Light	Dark	Ice		Wind	0	pazuzu
166	Lilith	Devil	65	Said to have been Adam's first wife, she desired to be his equal and refused to obey him. She was cast out of Eden and became a demon of the night. She is the mother of the demoness, Lilim.	https://megatenwiki.com/images/5/5a/SMT1_PS_Lilith_Artwork.png	35	56	38	44	35	Fire	Ice		Electric	Dark	0	lilith
167	Abaddon	Devil	76	The ''Destroyer'' and ''Angel of the Bottomless Pit'' as described in ancient scriptures. He controls locusts, using them to cause massive destruction to villages. 	https://megatenwiki.com/images/d/d4/SMT1_Abaddon_Artwork.png	53	61	48	33	46	Ice,Light			Slash,Strike,Dark	Fire	0	abaddon
168	Beelzebub	Devil	81	Demonic Lord of the Flies whose insect minions carry souls for him to control. He is mentioned in the Bible as a leader of evil spirits and is seen as a powerful demon.	https://megatenwiki.com/images/0/07/SH1_Beelzebub_Artwork.png	50	62	50	60	52	Fire,Light		Dark		Strike,Electric,Wind	0	beelzebub
169	Eligor	Tower	31	One of the 72 demons of the Goetia. He looks like a knight and has the power to see things to come. He also knows much about wars. 	https://megatenwiki.com/images/2/21/P5X_Eligor_Artwork.png	26	21	24	20	15	Electric	Pierce,Dark			Fire	0	eligor
170	Cu Chulainn	Tower	40	A hero in Celtic folklore. He was called Setanta until he earned the name ''Culann's Hound.'' There are many tales of his adventures. He received his spear, Gae Bolg, from his mentor, Scathach.	https://megatenwiki.com/images/a/ad/P5X_Cu_Chulainn_Artwork.png	33	29	24	26	21	Ice	Pierce,Electric	Wind			0	cu-chulainn
171	Magatsu-Izanagi	Tower	50	A Persona of another story. He is Izanagi's rival and looks just like him. Magatsu means ''calamity.'' Unlike Izanagi, who founded the land and brought order, he leads all back into chaos.	https://megatenwiki.com/images/a/a8/P3R_Magatsu-Izanagi_Render.png	42	39	36	28	17	Ice	Pierce			Light,Dark	1	magatsu-izanagi
172	Bishamonten	Tower	60	Also known as Tamonten and Vaishravana in Buddhist lore, he is the strongest of the Heavenly Kings. He protects the North and is the god of war.	https://megatenwiki.com/images/9/96/DeSu1_Bishamonten_Artwork.png	50	38	45	36	30	Ice	Light			Strike,Fire	0	bishamonten
173	Qitian Dasheng	Tower	67	Also known as ''Sun Wukong,'' he was supposedly born from a rock. After wreaking havoc, he was punished by Buddha, but was eventually saved by a monk named Santsang.	https://megatenwiki.com/images/1/1f/P3_Seiten_Taisei_Artwork.png	52	38	39	50	41	Fire	Wind			Pierce	0	qitian-dasheng
174	Mara	Tower	75	A Buddhist demon that represents the fear of death. Also known as ''The Evil One,'' he sent his daughters to tempt Buddha during his meditations.	https://megatenwiki.com/images/f/f1/P5X_Mara_Artwork.png	60	50	50	48	39	Ice,Light			Strike,Fire,Dark		0	mara
175	Masakado	Tower	79	Taira no Masakado, hero of the Heian period. He claimed the title ''Shinno'' (New Emperor) and rebelled against the government. He was killed, but it is said he became a demigod.	https://megatenwiki.com/images/c/c6/SH1_Masakado_Artwork.png	67	46	55	43	48	Electric	Slash,Strike,Pierce,Dark	Light			0	masakado
176	Shiva	Tower	82	One of the major Hindu gods, he is known as the Destroyer but is also related to regeneration. His wife is Parvati.	https://megatenwiki.com/images/6/60/DeSum_Shiva_Artwork.png	63	57	48	57	55	Ice			Electric	Pierce,Light	0	shiva
177	Chi You	Tower	86	A Chinese god of war, he is said to have invented many weapons. He and his followers rebelled against the Yellow Emperor, Huang Di, but were ultimately defeated.	https://megatenwiki.com/images/d/d7/DeSum_Chi_You_Artwork.png	69	50	63	53	60	Electric	Slash,Pierce				0	chi-you
178	Neko Shogun	Star	17	A prophetic Taoist god, originally known as Mao Shogun. Due to a linguistic error involving the Chinese word for cat, his name became Neko Shogun.	https://megatenwiki.com/images/b/b0/P5X_Neko_Shogun_Artwork.png	15	12	10	14	8	Wind	Electric			Light,Dark	0	neko-shogun
179	Setanta	Star	29	A brave young man in Celtic myth. After defeating a fierce guard dog, he volunteered to take its place, earning him the nickname ''Hound of Culann.''	https://megatenwiki.com/images/0/0b/P5X_Setanta_Artwork.png	26	19	17	21	15	Fire,Dark	Pierce			Electric	0	setanta
180	Cendrillon	Star	36	A Persona of another story. It is the French name of the titular heroine of Cinderella, a tale of great renown in which a mistreated waif gains luxury, beauty, and a single night's dance with a prince through the power of magic.	https://megatenwiki.com/images/9/90/P5R_Cendrillon_Artwork.png	25	22	20	28	20	Dark	Light				1	cendrillon
181	Kaiwan	Star	42	A god in Assyrian legend. His name is interchangeable with that of Sakkut, another incarnation of the star god, Saturn.	https://megatenwiki.com/images/0/08/P5X_Kaiwan_Artwork.png	23	28	25	25	32	Pierce	Fire,Ice,Dark				0	kaiwan
182	Ganesha	Star	51	The Hindu elephant-headed god. He was originally created by Parvati to prevent anyone from watching her bathe. Shiva batted off his original head and replaced it with an elephant's head.	https://megatenwiki.com/images/7/7b/P5X_Ganesha_Artwork.png	39	31	34	20	40	Dark			Wind	Pierce	0	ganesha
183	Vanadis	Star	58	A Persona of another story. It is the true name of Freyja, of the Norse Vanir deities. Her name means ''dis of the Vanir''—''dis'' being a goddess. Known to be a great beauty and a witchlike master of magic.	https://megatenwiki.com/images/a/af/P3R_Vanadis_Render.png	43	38	30	42	33	Dark	Slash			Light	1	vanadis
184	Garuda	Star	64	A divine bird-man in Hindu lore, he once fought the gods and received immortality in exchange for becoming Vishnu's carrier.	https://megatenwiki.com/images/7/75/P5X_Garuda_Artwork.png	45	41	35	51	36	Ice,Electric,Dark	Slash,Strike,Fire,Wind			Light	0	garuda
185	Houou	Star	70	The legendary bird of myth said to appear only in times of peace. It is the ruler of all birds. When it dies, birds across the land chirp with sadness.	https://megatenwiki.com/images/9/9c/P5X_Phoenix_Artwork.png	35	57	39	54	41	Pierce,Electric	Ice		Fire,Light	Wind	0	houou
186	Saturnus	Star	76	The Roman god of agriculture. He is commonly identified with Cronus. In an attempt to prevent his destiny, he ate his children, but was overthrown as was fated.	https://megatenwiki.com/images/6/67/SH1_Saturnus_Artwork.png	43	70	45	51	41	Ice			Fire	Wind	0	saturnus
187	Helel	Star	88	A fallen angel in Judeo-Christian lore whose name means ''morning star.'' Primarily known for defying God, but also worshiped as a bringer of light to mankind.	https://megatenwiki.com/images/7/7b/SMT2_Lucifer_Ally_Artwork.png	63	63	62	58	58	Ice	Slash,Strike,Pierce		Light,Dark		0	helel
188	Gurulu	Moon	14	A demon that takes the shape of a giant bird in Sri Lankan myth. It is thought to be a derivation of Garuda.	https://megatenwiki.com/images/2/2b/SH1_Gurr_Artwork.png	13	8	10	12	6	Fire,Light	Wind			Dark	0	gurulu
189	Yamata-no-Orochi	Moon	25	A giant snake with eight heads that Susano-o defeated to save Kushinada-hime. The legendary sword Ame-no-Murakumo-no-Tsurugi, also known as the Sword of Kusanagi, emerged from its belly.	https://megatenwiki.com/images/c/c7/P5X_Yamata-no-Orochi_Artwork.png	19	19	17	13	14	Slash				Ice,Electric	0	yamata-no-orochi
190	Kaguya	Moon	34	A Persona of another story. A divine being born from a glowing bamboo shoot. Though many proposed to her, none could complete her strict tasks. She eventually returned to her home, the moon.	https://megatenwiki.com/images/b/ba/P4G_Kaguya_Graphic.png	19	32	28	19	11	Fire	Wind			Light,Dark	1	kaguya
191	Girimekhala	Moon	39	A giant elephant monster of Sri Lankan myth, it is typically portrayed as being ridden by the Evil One, Mara. Whoever looks into its evil eye is said to be met with misfortune.	https://megatenwiki.com/images/d/db/P5X_Girimehkala_Artwork.png	36	26	28	20	20	Wind,Light		Slash,Pierce			0	girimekhala
192	Dionysus	Moon	49	The Greek god of wine and theater. He had two births. When his mother died while bearing him, Zeus took the premature infant and let him mature in Zeus's own thigh to a proper birth.	https://megatenwiki.com/images/6/6a/P5X_Dionysus_Artwork.png	30	38	26	30	33	Wind	Strike	Electric			0	dionysus
193	Chernobog	Moon	56	A cursed god of the darkness in Slavic myth. His name means ''Black God.'' He is the counterpart of the ''White God'' Belobog.	https://megatenwiki.com/images/3/39/SH1_Chernobog_Artwork.png	48	41	31	35	32	Fire	Pierce		Dark	Slash	0	chernobog
194	Seth	Moon	62	The Egyptian god of the desert, chaos, and evil. He murdered his brother, Osiris, and tried to become chief god, but he was castrated by Osiris's son, Horus.	https://megatenwiki.com/images/6/60/P5X_Seth_Artwork.png	47	49	42	29	35	Ice,Light	Dark	Fire			0	seth
195	Baal Zebul	Moon	72	Demon whose name means ''Lord of the High Place.'' Possibly derived from the Syrian deity Ba'al, he presides over death and the spirits of the deceased. Many worshiped him because of this power.	https://megatenwiki.com/images/a/a2/SH1_Beelzebub_Human_Artwork.png	51	56	45	42	41	Fire,Light	Ice,Electric,Wind	Dark			0	baal-zebul
196	Sandalphon	Moon	80	Metatron's twin brother in Judeo-Christian lore, he is the master of heavenly songs. It is said that a human would take 500 years to walk the length of his body.	https://megatenwiki.com/images/9/98/P5X_Sandalphon_Artwork.png	53	53	67	46	49	Dark	Electric	Light		Slash	0	sandalphon
197	Yatagarasu	Sun	24	A divine creature in Japanese lore. They are three-legged birds sent by Amaterasu to help humans. They are said to have helped Emperor Jinmu claim victory.	https://megatenwiki.com/images/4/47/P5X_Yatagarasu_Artwork.png	16	16	14	24	13	Ice	Wind			Light	0	yatagarasu
198	Thunderbird	Sun	35	A revered bird of Native American mythology said to live atop cloud-shrouded peaks. Resembles an eagle. Its wingbeats create thunderclaps, and some legends say its eyes can unleash lightning.	https://megatenwiki.com/images/d/db/SH1_Thunderbird_Artwork.png	18	28	18	32	21	Pierce			Electric	Light	0	thunderbird
199	Quetzalcoatl	Sun	45	An Aztec deity known as the Feathered Serpent. He created humans with his own blood and taught them how to sustain themselves.	https://megatenwiki.com/images/3/30/P5X_Quetzalcoatl_Artwork.png	25	35	33	30	25	Dark	Wind			Ice,Light	0	quetzalcoatl
200	Jatayu	Sun	55	The king of birds in Hindu myth. In the Ramayana, he fought bravely, but lost to Ravana in an attempt to save Sita, Rama's wife, the 7th avatar of Vishnu.	https://megatenwiki.com/images/9/9c/P5X_Jatayu_Artwork.png	33	40	30	50	28	Pierce,Electric	Fire,Ice,Light		Wind		0	jatayu
